id;overall_category;zone_category;zone_name;name;address;Google map link;Cuisine;Category;More Filters;lat;lon
EXAMPLE:1212;"Europe ";"Germany ";Berlin;Alsancak Simit Sarayi;Blücherstraße 9, 10961 Berlin, Germany;Blücherstraße 9, 10961 Berlin, Germany;j;%,?;1,5,6,7;"52.4958161";"13.3957539"
111;"Europe ";"Germany ";Berlin;Alsancak Simit Sarayi;Blücherstraße 9, 10961 Berlin, Germany;https://www.google.com/maps/place/Alsancak+Simit+Sarayi/@52.4958936,13.3934779,17z/data=!3m1!4b1!4m5!3m4!1s0x47a84f022c887a1f:0x65ec743942a3cb8f!8m2!3d52.4958936!4d13.3956719;TBF;TBF;"TBF ";"52.4958161";"13.3957539"
112;"Europe ";"Germany ";Berlin;"Adana Grillhaus ";Manteuffelstraße 86, 10997 Berlin, Germany;https://www.google.com/maps/place/Adana+Grillhaus/@52.4996372,13.4225005,17z/data=!3m1!4b1!4m5!3m4!1s0x47a84e357faa2cad:0x3624d3483f38be43!8m2!3d52.4996373!4d13.4269905;;;;"52.4996258";"13.4268959"
113;"Europe ";"Germany ";Berlin;Alt Berliner Wirtshaus Henne;Leuschnerdamm 25, 10999 Berlin, Germany;https://www.google.com/maps/place/Alt+Berliner+Wirtshaus+Henne/@52.5042617,13.4156609,17z/data=!3m1!4b1!4m5!3m4!1s0x47a84fb3d3c366f3:0xcb2fe23a38c559d9!8m2!3d52.5042617!4d13.4178549;;;;"52.5042534";"13.417862"
114;"Europe ";"Germany ";Berlin;Prater Beer Garden;Kastanienallee 7-9, 10435 Berlin, Germany;https://www.google.com/maps/place/Prater+Beer+Garden/@52.5397629,13.4083425,17z/data=!3m2!4b1!5s0x47a851ff1fa2510b:0xe571b1ebd6d21395!4m5!3m4!1s0x47a851ff1dec4b0f:0x7199f1fd1c97a3eb!8m2!3d52.5397629!4d13.4105365;;;;"52.53986";"13.410728"
115;"Europe ";"Germany ";Berlin;"Borchardt ";Franz. Str. 47, 10117 Berlin, Germany;https://www.google.com/maps/place/Borchardt/@52.5150087,13.3882384,17z/data=!3m1!4b1!4m5!3m4!1s0x47a851db2026f155:0x746a5ac9a674c8b1!8m2!3d52.5150087!4d13.3904324;;;;"52.4345749";"13.3315032"
116;"Europe ";"Germany ";Berlin;Libensmittel in Mitte;Rochstraße 2, 10178 Berlin, Germany;https://www.google.com/maps/place/Lebensmittel+in+Mitte/@52.5242336,13.4051885,17z/data=!3m2!4b1!5s0x47a851e1d1d7f8d5:0x824f86660d9a6108!4m5!3m4!1s0x47a851e1ce4b62a5:0x812c5b845c124b16!8m2!3d52.5242336!4d13.4073825;;;;"52.5242077";"13.4074765"
117;"Europe ";"Germany ";Berlin;Zollpackhof;Elisabeth-Abegg-Straße 1, 10557 Berlin, Germany;https://www.google.com/maps/place/Zollpackhof/@52.5213107,13.3647041,17z/data=!3m1!4b1!4m5!3m4!1s0x47a851bc13037389:0xe9f3f54504759c21!8m2!3d52.5213117!4d13.366794;;;;"52.5212821";"13.3668503"
118;"Europe ";"Germany ";Berlin;"Papaya ";Kantstraße 122, 10625 Berlin, Germany;https://www.google.com/maps/place/Papaya+Kantstra%C3%9Fe/@52.5062766,13.3082844,17z/data=!3m1!4b1!4m5!3m4!1s0x47a850e0dfc8b9f3:0xd61004f2585ed089!8m2!3d52.5063157!4d13.3104364;;;;"52.506278";"13.310481"
119;"Europe ";"Germany ";Berlin;"Thai-art ";Kantstraße 57, 10627 Berlin, Germany;https://www.google.com/maps/place/Thai-Art/@52.5062766,13.3082844,17z/data=!4m5!3m4!1s0x47a8508cbcb5d1c7:0x576a4692ad9f8b64!8m2!3d52.5069165!4d13.3058096;;;;"52.506925";"13.305806"
120;"Europe ";"Germany ";Berlin;"Kin Dee ";Lützowstraße 81, 10785 Berlin, Germany;https://www.google.com/maps/place/Kin+Dee/@52.5035176,13.3601732,17z/data=!3m1!4b1!4m5!3m4!1s0x47a8504b22c4fdf3:0xbd5a3771299ffe6e!8m2!3d52.5035176!4d13.3623672;;;;"52.5035198";"13.362416"
121;"Europe ";"Germany ";Berlin;Chungking Noodles;Reichenberger Str. 35, 10999 Berlin, Germany;https://www.google.com/maps/place/Chungking+Noodles/@52.4973519,13.4210825,17z/data=!3m2!4b1!5s0x47a84fcad2a1d859:0x790cfacf00efdfa1!4m5!3m4!1s0x47a84fcb5fc20c67:0x957ab99c4086dee6!8m2!3d52.4973519!4d13.4232765;;;;"52.49726865";"13.4232581"
122;"Europe ";"Germany ";Berlin;Smartdeli Sushi & More;Novalisstraße 2, 10115 Berlin, Germany;https://www.google.com/maps/place/Smartdeli+Sushi+%26+More/@52.5280421,13.3868798,17z/data=!3m1!4b1!4m5!3m4!1s0x47a851ebe3e25565:0xfc8455564eeac8f5!8m2!3d52.5280421!4d13.3890738;;;;"52.5280899";"13.3890004"
